LastName,FirstName,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,OrigUnitStr,lat,lon,MeasuredYear
Williams,Mathew,262,"LBA-ECO CD-09 Soil and Vegetation Characteristics, Tapajos National Forest, Brazil",not identified,268347,Unidentified species,1792878,13495111,1260,Wood carbon/nitrogen (C/N) ratio,2729,Wood C/N ratio,Wood CN_ratio,81.81,g/g,-2.838083,-54.969333,1999
Williams,Mathew,262,"LBA-ECO CD-09 Soil and Vegetation Characteristics, Tapajos National Forest, Brazil",not identified,268347,Unidentified species,1792879,13495123,1260,Wood carbon/nitrogen (C/N) ratio,2729,Wood C/N ratio,Wood CN_ratio,48.65,g/g,-2.840417,-54.998222,1999
Williams,Mathew,262,"LBA-ECO CD-09 Soil and Vegetation Characteristics, Tapajos National Forest, Brazil",not identified,268347,Unidentified species,1792880,13495135,1260,Wood carbon/nitrogen (C/N) ratio,2729,Wood C/N ratio,Wood CN_ratio,50.9,g/g,-2.873917,-54.951556,1999
Williams,Mathew,262,"LBA-ECO CD-09 Soil and Vegetation Characteristics, Tapajos National Forest, Brazil",not identified,268347,Unidentified species,1792881,13495147,1260,Wood carbon/nitrogen (C/N) ratio,2729,Wood C/N ratio,Wood CN_ratio,86.49,g/g,-2.858806,-54.95617,1999
Williams,Mathew,262,"LBA-ECO CD-09 Soil and Vegetation Characteristics, Tapajos National Forest, Brazil",not identified,268347,Unidentified species,1792882,13495159,1260,Wood carbon/nitrogen (C/N) ratio,2729,Wood C/N ratio,Wood CN_ratio,128.16,g/g,-3.356333,-54.946583,1999
Williams,Mathew,262,"LBA-ECO CD-09 Soil and Vegetation Characteristics, Tapajos National Forest, Brazil",not identified,268347,Unidentified species,1792883,13495170,1260,Wood carbon/nitrogen (C/N) ratio,2729,Wood C/N ratio,Wood CN_ratio,88.91,g/g,-3.351,-54.94925,1999
Williams,Mathew,262,"LBA-ECO CD-09 Soil and Vegetation Characteristics, Tapajos National Forest, Brazil",not identified,268347,Unidentified species,1792884,13495182,1260,Wood carbon/nitrogen (C/N) ratio,2729,Wood C/N ratio,Wood CN_ratio,114.59,g/g,-3.380806,-54.911444,1999
Williams,Mathew,262,"LBA-ECO CD-09 Soil and Vegetation Characteristics, Tapajos National Forest, Brazil",not identified,268347,Unidentified species,1792885,13495194,1260,Wood carbon/nitrogen (C/N) ratio,2729,Wood C/N ratio,Wood CN_ratio,56.02,g/g,-3.375917,-54.910472,1999
Williams,Mathew,262,"LBA-ECO CD-09 Soil and Vegetation Characteristics, Tapajos National Forest, Brazil",not identified,268347,Unidentified species,1792886,13495205,1260,Wood carbon/nitrogen (C/N) ratio,2729,Wood C/N ratio,Wood CN_ratio,99.99,g/g,-4.047778,-54.941,1999
Williams,Mathew,262,"LBA-ECO CD-09 Soil and Vegetation Characteristics, Tapajos National Forest, Brazil",not identified,268347,Unidentified species,1792887,13495217,1260,Wood carbon/nitrogen (C/N) ratio,2729,Wood C/N ratio,Wood CN_ratio,104.15,g/g,-4.041278,-54.907917,1999
Williams,Mathew,262,"LBA-ECO CD-09 Soil and Vegetation Characteristics, Tapajos National Forest, Brazil",not identified,268347,Unidentified species,1792888,13495229,1260,Wood carbon/nitrogen (C/N) ratio,2729,Wood C/N ratio,Wood CN_ratio,161.09,g/g,-3.488944,-55.256833,1999
Williams,Mathew,262,"LBA-ECO CD-09 Soil and Vegetation Characteristics, Tapajos National Forest, Brazil",not identified,268347,Unidentified species,1792889,13495241,1260,Wood carbon/nitrogen (C/N) ratio,2729,Wood C/N ratio,Wood CN_ratio,108.9,g/g,-3.367833,-55.209833,1999
Williams,Mathew,262,"LBA-ECO CD-09 Soil and Vegetation Characteristics, Tapajos National Forest, Brazil",not identified,268347,Unidentified species,1792890,13495253,1260,Wood carbon/nitrogen (C/N) ratio,2729,Wood C/N ratio,Wood CN_ratio,131.91,g/g,-3.408639,-55.222917,1999
